ID_REF	GSM861609	GSM861610	GSM861611	GSM861612	GSM861613	GSM861615
10346882	6.062395	5.829475	6.248182	6.165713	6.044925	6.231036
10346914	6.003647	6.191202	6.042284	6.311184	6.192351	6.162575
10346928	2.780683	2.627845	2.655039	2.644521	2.737729	2.58557
10346938	2.057038	1.978853	2.186077	1.976591	2.357055	1.886065
10346941	1.373454	1.258788	1.568122	1.3961	1.461977	1.325256
10346943	7.468267	7.4904	7.455996	7.609932	7.606588	7.549248
10346960	5.62639	5.683634	5.26226	5.863635	5.203639	5.904689
10346970	5.90603	5.950526	6.059625	6.118497	6.159741	6.127264
10347018	3.729719	3.59062	4.067055	3.088124	3.285196	3.125382
10347033	2.821356	2.887679	2.71384	2.825238	2.869493	2.82554
10347036	6.493656	6.735825	7.280184	7.46289	7.239197	7.455572
10347058	2.562453	2.063475	2.370267	2.242072	2.437652	2.264807
10347060	4.150476	4.189741	4.222161	4.09029	4.227216	4.180669
10347073	4.324412	3.866461	4.359693	3.962169	4.090267	3.949296
10347106	5.695276	5.820446	5.665336	6.110777	6.201379	6.058258
10347115	1.355758	1.247015	1.240292	1.250781	1.339983	1.571071
10347117	3.696573	3.87278	3.830694	3.608552	3.635947	3.801236
10347158	2.218716	1.992732	2.359509	2.194329	2.305001	2.290715
10347163	2.671658	2.482751	2.442152	2.297425	2.511004	2.389481
10347186	3.276807	3.436042	3.562984	3.326535	2.62896	3.326636
10347188	3.368964	3.668862	3.332965	3.348016	3.611672	3.58361
10347193	8.451728	8.36674	7.971076	8.485662	8.495115	8.373316
10347210	4.014461	3.773015	3.836842	3.928265	4.278966	4.350472
10347214	3.334611	3.524374	3.514864	3.445422	3.498569	3.244648
10347216	9.366446	9.396617	9.198865	9.446053	9.135962	9.074347
10347218	3.44491	3.259677	3.462397	4.020196	3.933402	3.733319
10347220	4.948502	5.333463	5.300916	5.394148	4.746177	5.185751
10347222	4.876337	5.295129	5.275688	5.36395	4.703701	5.087953
10347224	4.948502	5.333463	5.300916	5.394148	4.746177	5.185751
10347226	4.36062	4.31837	4.328367	4.348877	4.36062	4.544751
10347232	7.557981	7.546335	7.593188	8.090728	7.802852	7.795068
10347254	7.120142	7.076403	7.153302	7.191731	7.077849	7.061015
10347273	7.828762	7.865698	7.908314	7.850101	7.846677	7.882826
10347277	8.958767	9.011897	9.663549	9.047611	9.085077	9.278008
10347282	4.121247	4.146588	4.274097	4.017349	4.218838	4.232303
10347291	1.982836	2.170492	2.2559	2.069048	2.420976	2.022871
10347295	1.587404	1.522659	1.531546	1.296422	1.554332	1.546783
10347297	8.004025	8.015526	8.026268	8.340114	8.12848	8.169676
10347307	6.25421	5.895138	6.000757	6.184159	6.220592	6.244532
10347310	6.564047	6.583325	6.881114	6.529523	6.653122	6.583054
10347324	3.49687	3.683767	4.088231	3.546377	3.642587	3.750146
10347335	4.644536	4.729383	4.632257	4.673472	4.516634	4.748695
10347351	6.776908	6.580555	6.541646	6.458415	6.695567	6.572939
10347362	3.90565	3.912465	3.86989	3.79404	3.826815	3.849496
10347364	3.238761	3.436321	3.080887	3.135629	3.413196	3.207196
10347386	7.84129	7.781103	7.703596	7.976226	7.819018	7.740655
10347398	3.332066	3.212177	3.642843	3.427572	3.371312	3.33859
10347417	6.557812	6.443093	6.293427	6.471047	6.431866	6.348253
10347427	6.270315	6.138485	6.413816	6.162282	6.164926	6.111375
10347460	8.080956	8.143324	8.022672	8.107748	8.174064	8.203169
10347481	4.014585	3.987005	4.00891	3.927532	4.250463	4.136887
10347491	4.395376	4.612218	4.64077	4.451743	4.547929	4.847445
10347497	5.11898	5.186438	5.098145	5.043666	5.398111	5.467173
10347503	6.240067	6.152085	6.30488	6.212789	6.095879	6.145762
10347508	7.083304	6.970911	7.184734	6.782559	6.80308	6.827836
10347521	6.570426	6.394313	6.536918	6.309829	6.529325	6.581637
10347531	6.546206	6.398287	6.536045	6.532715	6.623004	6.586098
10347552	7.0297	6.985937	6.969498	7.108774	7.064531	7.106874
10347564	5.085103	5.002679	5.283355	5.091197	5.114123	5.09663
10347583	4.243865	4.058728	4.304813	4.024882	4.136056	4.211756
10347593	6.136809	6.250774	6.484763	5.920116	6.130455	6.151705
10347639	6.607225	6.461059	6.65449	6.448898	6.506084	6.489755
10347650	5.213647	5.295581	5.469125	5.184986	5.405492	5.542714
10347662	3.242797	3.434786	3.493169	3.264143	3.475365	3.275358
10347669	6.106076	6.067072	6.291181	6.242068	6.582367	6.571409
10347672	6.988169	6.857197	6.94697	6.906547	6.863119	6.902952
10347697	6.939998	6.978244	6.987704	6.915206	7.03363	7.045009
10347724	4.493684	4.342577	4.543477	4.44575	4.426927	4.63892
10347726	2.886472	3.03373	2.966085	2.997481	3.018227	3.064036
10347728	5.162704	5.33402	5.269647	5.228147	5.09609	4.87293
10347730	6.025434	6.061573	5.993991	6.069262	5.868257	6.087376
10347732	5.52679	5.626081	5.66234	5.432678	5.405477	5.257718
10347734	4.428942	4.509318	4.860783	4.311954	4.547327	4.567646
10347741	2.514979	2.422742	2.533725	2.414132	2.680459	2.545489
10347748	7.448032	7.532213	7.400524	7.830322	7.711006	7.738591
10347767	3.058774	3.183423	3.958885	3.665162	3.665162	3.665162
10347772	2.634335	2.456287	2.214751	2.325031	2.34829	2.57433
10347774	6.434624	6.326848	6.367545	6.21419	6.556917	6.313272
10347779	1.458616	1.53137	1.510544	1.531523	1.295494	1.745961
10347781	3.451054	3.121947	3.665591	3.461974	3.418258	3.378828
10347790	2.922101	2.526645	2.741747	2.460404	2.586707	2.708319
10347792	2.965447	2.734993	3.006259	2.614451	3.209811	2.905443
10347796	5.591196	5.588603	5.583821	5.485423	5.43533	5.614102
10347807	4.655643	4.896554	5.070069	4.72147	4.85444	4.735535
10347860	5.816267	5.847444	5.915697	5.858823	6.099994	5.872367
10347862	7.163555	7.118632	7.078445	7.346464	7.274924	7.365761
10347873	8.373539	8.281588	8.261098	8.554788	8.532132	8.625886
10347888	4.237295	4.049217	4.433099	4.263813	4.29541	4.261903
10347895	2.429413	2.66598	2.687813	2.476061	2.644904	2.700868
10347910	5.843067	5.813345	5.969403	5.979465	5.892959	6.084348
10347915	2.798073	2.685404	2.580686	2.980175	2.597696	2.456009
10347917	9.767567	9.703845	9.641558	9.686258	9.625152	9.617231
10347919	2.485136	2.601157	2.573821	2.574204	2.619689	2.30877
10347921	3.689686	3.524694	3.653738	3.729733	3.84918	3.699793
10347925	2.573863	2.484637	2.324179	2.747431	2.373487	2.231799
10347928	3.147	3.002864	3.319551	2.994999	2.74084	2.740349
10347931	4.037135	4.090241	4.40164	4.056247	3.961534	3.828337
10347933	2.291026	2.142814	2.498527	2.242654	2.228625	2.268615
